Spreadsheet tab,Spreadsheet tab description,Element or value display name,Description,Data type,Unit,Calculation,Format,Low Value,High Value,Acceptable values,Required,Accepts null value
MgtGrazing,Grazing information,Animal Species,Animal species,CHARACTER,NA,NA,NA,NA,NA,Beef Cattle | Bison | Dairy Cattle | Donkey | Goat | Horse | Llama | Sheep | None,N,Y
MgtGrazing,Grazing information,Animal Class,Type of animal,CHARACTER,NA,NA,NA,NA,NA,Dam with 1 offspring | Dam with 2 offspring | Dam with 3 offspring | Intact male | Juvenile female | Lactating female | Mature female | Neutered male,N,Y
MgtGrazing,Grazing information,Other Events,Other information about grazing events,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtGrazing,Grazing information,Burn Frequency years between burns,The number of years between prescribed burn events,INTEGER,NA,years/burn,NA,0,10,NA,N,Y
MgtGrazing,Grazing information,Burn Intensity,The severity of the burn event,CHARACTER,NA,NA,NA,NA,NA,High | Low | Medium,N,Y
MeasNutrEff,Measurements of nutrient use efficiencies,Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
MeasNutrEff,Measurements of nutrient use efficiencies,Date,Date the sampling occurred,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,Y,N
MeasNutrEff,Measurements of nutrient use efficiencies,Treatment ID,Treatment identifier,CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
MeasNutrEff,Measurements of nutrient use efficiencies,Growth Stage,Growth stage,CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
MeasNutrEff,Measurements of nutrient use efficiencies,Crop,Crop,CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
MeasNutrEff,Measurements of nutrient use efficiencies,Plant Fraction,Specifically what was analyzed,CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
MeasNutrEff,Measurements of nutrient use efficiencies,Fraction N kgN/ha,N Uptake in plant fraction,NUMERIC,NA,kg/ha,NA,0,1000,NA,N,Y
MeasNutrEff,Measurements of nutrient use efficiencies,Nitrogen Use Efficiency %,"Nitrogen use efficiency = (Nutrient uptake F, kg - Nutrient uptake C, kg)/(Quantity of nutrient applied, kg) * 100",NUMERIC,%,NA,NA,0,100,NA,N,Y
MeasNutrEff,Measurements of nutrient use efficiencies,Agronomic Efficiency kg/kg,"Agronomic efficiencyNitrogen = (Yield F, kg - Yield C, kg)/(Quantity of nutrient applied, kg)",NUMERIC,NA,kg/kg,NA,0,100,NA,N,Y
MeasNutrEff,Measurements of nutrient use efficiencies,Nutrient efficiency ratio kg/kg,"Nutrient efficiency ratioNitrogen = (Units of Yield, kg )/(Units of element in tissue (Nitrogen), kg)",NUMERIC,NA,kg/kg,NA,0,100,NA,N,Y
MeasNutrEff,Measurements of nutrient use efficiencies,Nitrogen15 Use Efficiency kgN/ha,15N Report total aboveground N uptake = For this example (Harvested Grain N + Harvested Residue N ),NUMERIC,NA,kg/ha,NA,0,1000,NA,N,Y
MeasSoilPhys,Physical soil measurements,Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilPhys,Physical soil measurements,Date,Date the soil sampling occurred,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
MeasSoilPhys,Physical soil measurements,Treatment ID,Treatment identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilPhys,Physical soil measurements,Upper cm,Upper soil depth of the sample,NUMERIC,cm,NA,NA,0,200,NA,N,Y
MeasSoilPhys,Physical soil measurements,Lower cm,Lower soil depth of the sample,NUMERIC,cm,NA,NA,0,200,NA,N,Y
MeasSoilPhys,Physical soil measurements,Model if simulated ,Model used if data are simulated. All data are assumed to be observed if blank.,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilPhys,Physical soil measurements,Sand %,Percentage of soil that is sand,NUMERIC,%,NA,NA,0,100,NA,N,Y
MeasSoilPhys,Physical soil measurements,Silt %,Percentage of soil that is silt,NUMERIC,%,NA,NA,0,100,NA,N,Y
MeasSoilPhys,Physical soil measurements,Clay %,Percentage of soil that is clay,NUMERIC,%,NA,NA,0,100,NA,N,Y
MeasSoilPhys,Physical soil measurements,Bulk Density g/cm3,Bulk density of the sample,NUMERIC,NA,g/cm3,NA,0,3,NA,N,Y
MeasSoilPhys,Physical soil measurements,Wilting Point % volume,Wilting point,NUMERIC,%,NA,NA,5,50,NA,N,Y
MeasSoilPhys,Physical soil measurements,Field Capacity % volume,Field capacity,NUMERIC,%,NA,NA,0,0.01,NA,N,Y
MeasSoilPhys,Physical soil measurements,Ksat cm/sec,Saturated hydraulic conductivity,NUMERIC,NA,cm/sec,NA,0,1000,NA,N,Y
MeasSoilPhys,Physical soil measurements,Moisture Release Curve,Does this collect moisture release curve data?,CHARACTER,NA,NA,NA,NA,NA,Yes | No,N,Y
MeasSoilPhys,Physical soil measurements,Soil Heat Flux MJ/m2,Soil heat flux,NUMERIC,NA,MJ/m^2,NA,0,NA,NA,N,Y
MeasSoilPhys,Physical soil measurements,Aggregation %,Micro or macro-aggregation,NUMERIC,%,NA,NA,0,100,NA,N,Y
MeasSoilPhys,Physical soil measurements,H2O Stable Aggregates %,Water stable aggregate,NUMERIC,%,NA,NA,0,100,NA,N,Y
MeasSoilPhys,Physical soil measurements,Near-Infrared C gC/kg,Total amount of carbon measured when using infrared spectroscopy,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilPhys,Physical soil measurements,Bulk Density STD g/cm3,Bulk density standard deviation if Bulk Density field was entered as a Mean,NUMERIC,NA,g/cm3,NA,0,3,NA,N,Y
MeasSoilPhys,Physical soil measurements,Wilting Point STD % volume,Wilting point standard deviation if Wilting Point field was entered as a Mean,NUMERIC,%,NA,NA,0,50,NA,N,Y
MeasSoilPhys,Physical soil measurements,Field Capacity STD % volume,Field capacity standard deviation if Field Capacity field was entered as a Mean,NUMERIC,%,NA,NA,0,0.01,NA,N,Y
MeasSoilPhys,Physical soil measurements,Ksat STD cm/sec,Ksat standard deviation if Ksat field was entered as a Mean,NUMERIC,NA,cm/sec,NA,0,1000,NA,N,Y
MeasSoilPhys,Physical soil measurements,Soil Heat Flux STD MJ/m2,Soil heat flux standard deviation if Soil Heat Flux field was entered as a Mean,NUMERIC,NA,MJ/m2,NA,0,NA,NA,N,Y
MeasSoilPhys,Physical soil measurements,Macro Aggregates STD %,Macro Aggregates standard deviation if Macro Aggregates field was entered as a Mean,NUMERIC,%,NA,NA,0,100,NA,N,Y
MeasSoilPhys,Physical soil measurements,H2O Stable Aggregates STD %,H2O Stable Aggregates standard deviation if H2O Stable Aggregates field was entered as a Mean,NUMERIC,%,NA,NA,0,100,NA,N,Y
MeasSoilPhys,Physical soil measurements,Near-Infrared C STD gC/kg,Near-Infrared C standard deviation if Near-Infrared C field was entered as a Mean,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilChem,Chemical soil measurements,Date,Date the soil sampling occurred,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
MeasSoilChem,Chemical soil measurements,Treatment ID,Treatment identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilChem,Chemical soil measurements,Upper cm,Upper soil depth of the sample,NUMERIC,cm,NA,NA,0,200,NA,N,Y
MeasSoilChem,Chemical soil measurements,Lower cm,Lower soil depth of the sample,NUMERIC,cm,NA,NA,0,200,NA,N,Y
MeasSoilChem,Chemical soil measurements,Model if simulated ,Model used if data are simulated. All data are assumed to be observed if blank.,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilChem,Chemical soil measurements,pH,Soil pH using the calcium chloride method,CHARACTER,NA,NA,NA,0,14,NA,N,Y
MeasSoilChem,Chemical soil measurements,TSC gC/kg,Total soil carbon,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,TSN gN/kg,Total soil nitrogen,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Inorganic C gC/kg,Soil inorganic carbon,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Organic C gC/kg,Soil organic carbon,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Mineral C gC/kg,Soil mineral associated carbon,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,CEC cmol/kg,CEC,NUMERIC,NA,cmol/kg,NA,0,NA,NA,N,Y
MeasSoilChem,Chemical soil measurements,Electric Conduc siemens/m,Soil electrical conductivity,NUMERIC,NA,S/m,NA,0,1,NA,N,Y
MeasSoilChem,Chemical soil measurements,Soluble C mgC/kg,Soluble organic carbon - required if there is drainage in the system,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,NH4 mgN/kg,Soil ammonium,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,NO3 mgN/kg,Soil nitrate,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,P mgP/kg,Soil phosphorus,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,K mgK/kg,Soil potassium,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Ca mgCa/kg,Extractable calcium,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Mg mgMg/kg,Extractable magnesium,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Cu mgCu/kg,Extractable copper,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Fe mgFe/kg,Extractable iron,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Mn mgMN/kg,Extractable manganese,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Zn mgZn/kg,Extractable zinc,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Mineralizable N gN/kg,Potentially mineralizable nitrogen,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Nitrite mgN/kg,Nitrites,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Cesium-137 Bq/m2,Cesium,NUMERIC,NA,Bq/m2,NA, 0,10000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Lead-210 Bq/m2,Lead,NUMERIC,NA,Bq/m2,NA, 0,10000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Beryllium-7 Bq/m2,Beryllium,NUMERIC,NA,Bq/m2,NA, 0,10000,NA,N,Y
MeasSoilChem,Chemical soil measurements,pH STD,Soil pH using the calcium chloride method,CHARACTER,NA,NA,NA,0,14,NA,N,Y
MeasSoilChem,Chemical soil measurements,TSC STD gC/kg,Total soil carbon - standard deviation,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,TSN STD gN/kg,Total soil nitrogen - standard deviation,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Inorganic C STD gC/kg,Soil inorganic carbon - standard deviation,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Organic STD gC/kg,Soil organic carbon - standard deviation,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Mineral C STD gC/kg,Soil mineral associated carbon - standard deviation,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,CEC STD cmol/kg,CEC - standard deviation,NUMERIC,NA,cmol/kg,NA,0,NA,NA,N,Y
MeasSoilChem,Chemical soil measurements,Electric Conduc STD siemens/m,Soil electrical conductivity - standard deviation,NUMERIC,NA,dS/m,NA,0,1,NA,N,Y
MeasSoilChem,Chemical soil measurements,Soluble C STD mgC/kg,Soluble organic carbon - required if there is drainage in the system - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,NH4 STD mgN/kg,Soil ammonium - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,NO3 STD mgN/kg,Soil nitrate - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,P STD mgP/kg,Soil phosphorus - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,K STD mgK/kg,Soil potassium - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Ca STD mgCa/kg,Extractable calcium - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Mg STD mgMg/kg,Extractable magnesium - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Cu STD mgCu/kg,Extractable copper - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Fe STD mgFe/kg,Extractable iron - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Mn STD mgMN/kg,Extractable manganese - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Zn STD mgZn/kg,Extractable zinc - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Mineralizable N STD gN/kg,Potentially mineralizable nitrogen - standard deviation,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Nitrite STD mgN/kg,Nitrites - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Cesium-137 STD Bq/m2,Cesium - standard deviation,NUMERIC,NA,Bq/m^2,NA, 0,10000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Lead-210 STD Bq/m2 ,Lead - standard deviation,NUMERIC,NA,Bq/m^2,NA, 0,10000,NA,N,Y
MeasSoilChem,Chemical soil measurements,Beryllium-7 STD Bq/m2,Beryllium - standard deviation,NUMERIC,NA,Bq/m^2,NA, 0,10000,NA,N,Y
MeasSoilBiol,Biological soil measurements,Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Date,Date the soil sampling occurred,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
MeasSoilBiol,Biological soil measurements,Treatment ID,Treatment identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Upper cm,Upper soil depth of the sample,NUMERIC,cm,NA,NA,0,200,NA,N,Y
MeasSoilBiol,Biological soil measurements,Lower cm,Lower soil depth of the sample,NUMERIC,cm,NA,NA,0,200,NA,N,Y
MeasSoilBiol,Biological soil measurements,Model if simulated ,Model used if data are simulated. All data are assumed to be observed if blank.,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Glucosidase mg/kg/hr,Hydrolysis rate of p-nitrophenyl-B-D-glucopyranoside to p-nitrophenol,NUMERIC,NA,mg/kg/hr,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Glucosaminidase mg/kg/hr,Hydrolysis rate of p-nitrophenyl-N-acetyl-B-D-glucosaminide to p-nitrophenol,NUMERIC,NA,mg/kg/hr,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Acid Phosphatase mg/kg/hr,Hydrolysis rate of p-nitrophenol phoshate at pH 6.5 to p-nitrophenol,NUMERIC,NA,mg/kg/hr,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Alk Phosphatase mg/kg/hr,Hydrolysis rate of p-nitrophenol phoshate at pH 11.0 to p-nitrophenol,NUMERIC,NA,mg/kg/hr,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Fluorescein Diacetate Hydrol mg/kg/hr,Hydrolysis rate fluorescein diacetate to fluoresein,NUMERIC,NA,mg/kg/hr,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Glomalin g/kg,Glomali-related soil protein,NUMERIC,NA,g/kg,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,FAME,Indicate whether the project collects these data,CHARACTER,NA,NA,NA,NA,NA,Yes | No,N,Y
MeasSoilBiol,Biological soil measurements,PLFA,Indicate whether the project collects these data,CHARACTER,NA,NA,NA,NA,NA,Yes | No,N,Y
MeasSoilBiol,Biological soil measurements,DNA,Indicate whether the project collects these data,CHARACTER,NA,NA,NA,NA,NA,Yes | No,N,Y
MeasSoilBiol,Biological soil measurements,Iden Plant Material gC/kg,The amount of organic plant material greater than 2mm in diameter found in soil sample,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilBiol,Biological soil measurements,POM gC/kg,Particulate organic matter,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilBiol,Biological soil measurements,Microbe Bio C mgC/kg,The amount of carbon in the microbial biomass,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilBiol,Biological soil measurements,Microbe Bio N mgN/kg,The amount of nitrogen in the microbial biomass,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilBiol,Biological soil measurements,Glucosidase STD mg/kg/hr,The hydrolysis rate of p-nitrophenyl-B-D-glucopyranoside to p-nitrophenol - standard deviation,NUMERIC,NA,mg/kg,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Glucosaminidase STD mg/kg/hr,The hydrolysis rate of p-nitrophenyl-N-acetyl-B-D-glucosaminide to p-nitrophenol - standard deviation,NUMERIC,NA,mg/kg,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Acid Phosphatase STD mg/kg/hr,The hydrolysis rate of p-nitrophenol phoshate at pH 6.5 to p-nitrophenol - standard deviation,NUMERIC,NA,mg/kg,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Alk Phosphatase STD mg/kg/hr,The hydrolysis rate of p-nitrophenol phoshate at pH 11.0 to p-nitrophenol - standard deviation,NUMERIC,NA,mg/kg,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Fluorescein Diacetate Hydrol STD mg/kg/hr,The hydrolysis rate fluorescein diacetate to fluoresein - standard deviation,NUMERIC,NA,mg/kg/hr,NA,0,NA,NA,N,Y
MeasSoilBiol,Biological soil measurements,Glomalin STD g/kg,The glomalin related soil protein - standard deviation,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilBiol,Biological soil measurements,Iden Plant Material STD gC/kg,The amount of organic plant material greater than 2mm in diameter found in soil sample - standard deviation,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilBiol,Biological soil measurements,POM STD gC/kg,Particulate organic matter - standard deviation,NUMERIC,NA,g/kg,NA,0,1000,NA,N,Y
MeasSoilBiol,Biological soil measurements,Microbe Bio C STD mgC/kg,The amount of carbon in the microbial biomass - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilBiol,Biological soil measurements,Microbe Bio N STD mgN/kg,The amount of nitrogen in the microbial biomass - standard deviation,NUMERIC,NA,mg/kg,NA,0,1000000,NA,N,Y
MeasSoilCover,Percentage of soil covered with plant residue,Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilCover,Percentage of soil covered with plant residue,Date,Date the cover was measured,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
MeasSoilCover,Percentage of soil covered with plant residue,Treatment ID,Treatment identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilCover,Percentage of soil covered with plant residue,Timing Descriptor,The stage when soil cover was measured,CHARACTER,NA,NA,NA,NA,NA,Mid winter | Post harvest | Post harvest (2-4 weeks after harvest) | Post harvest (within 2 weeks of harvest) | Post planting | Post tillage | Pre plant | Pre tillage | Winter,N,Y
MeasSoilCover,Percentage of soil covered with plant residue,Crop,Crop,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasSoilCover,Percentage of soil covered with plant residue,Soil w/Residue %,Percent of soil with residue cover,NUMERIC,%,NA,NA,0,100,NA,N,Y
MeasARGenes,Soil biology,Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasARGenes,Soil biology,Date,Date the sampling occurred,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
MeasARGenes,Soil biology,Treatment ID,Treatment identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasARGenes,Soil biology,Sample Type,Sample type,CHARACTER,NA,NA,NA,NA,NA,Soil | Water | Manure | Feces | Urine | Wastewater | Biosolids | Air | Sediment | Plant | Litter,N,Y
MeasARGenes,Soil biology,Sample Details,"Notes about the sample, for example, the plant species, source of manure, etc.",CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasARGenes,Soil biology,Upper,Upper soil or water depth of the sample,NUMERIC,cm,NA,NA,0,200,NA,N,Y
MeasARGenes,Soil biology,Lower,Lower soil or water depth of the sample,NUMERIC,cm,NA,NA,0,200,NA,N,Y
MeasARGenes,Soil biology,Target,Target antibiotic resistance genes,CHARACTER,NA,NA,NA,NA,NA,16S rRNA | blaTEM | ctx-m 32 | ctx-m-1 | ermB | ermF | intl1 | sul1 | sul2 | tetA | tetB | tetC | tetD | tetE | tetG | tetK | tetL | tetM | tetO | tetP | tetQ | tetS | tetW | tetX,N,Y
MeasARGenes,Soil biology,Presence or Absence of Target,Presence or absence of the target if conducting standard PCR / Blank means not done,CHARACTER,NA,NA,NA,NA,NA,present | absent,N,Y
MeasARGenes,Soil biology,Value,Below detection limit= -999 / Blank means not done,CHARACTER,NA,qPCR,NA,NA,NA,NA,N,Y
MeasARGenes,Soil biology,Units,Units,CHARACTER,NA,NA,NA,NA,NA,copies/g dry wt. | gene copies/g wet wt. | gene copies/mL | gene copies/m3 air,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Date,Date the gas sampling occurred,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Time,The time gas sampling started in military time (1 p.m.=13:00),CHARACTER,NA,NA,hours:minutes,0:01,23:59,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Treatment ID,Treatment identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Crop,Crop,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Chamber Placement,Chamber placement or measurement method,CHARACTER,NA,NA,NA,NA,NA,"2:1 interrow:row | Across rows | Between rows | Flux Tower | In row | Over clipped grass | Over grass | Rangeland | 1 in row, 1 between rows",N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",N2O gN/ha/d,Nitrous oxide,NUMERIC,NA,g/ha/d,NA,-100,10000,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",N2O Interp=0 Obs=1,"Enter the number 1 if preceeding data is from an actual field measurement, or enter the number 0 if data is interpolated.",NUMERIC,NA,NA,NA,0,1,1 | 0,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",CO2 gC/ha/d,Carbon dioxide,NUMERIC,NA,g/ha/d,NA,-100,10000,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",CO2 Interp=0 Obs=1,"Enter the number 1 if preceeding data is from an actual field measurement, or enter the number 0 if data is interpolated.",NUMERIC,NA,NA,NA,0,1,1 | 0,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",CH4 gC/ha/d,Methane,NUMERIC,NA,g/ha/d,NA,-10000,10000,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",CH4 Interp=0 Obs=1,"Enter the number 1 if preceeding data is from an actual field measurement, or enter the number 0 if data is interpolated.",NUMERIC,NA,NA,NA,0,1,1 | 0,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Air Temp degC,Air temperature at time of gas sampling,NUMERIC,°C,NA,NA,-20,40,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Soil Temp degC,Soil temperature at time of gas sampling,NUMERIC,°C,NA,NA,-20,40,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Soil Moisture % vol,Soil moisture content at time of gas sampling,NUMERIC,NA,% vol (cm3H2O/cm3),NA,1,100,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Soil Moisture Depth cm,Soil depth of measured soil temperature and moisture data,NUMERIC,cm,NA,NA,0,100,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",N2O STD gN/ha/d,Standard deviation of nitrous oxide,NUMERIC,NA,g/ha/d,NA,-100,10000,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",CO2 STD gC/ha/d,Standard deviation of carbon dioxide,NUMERIC,NA,g/ha/d,NA,-100,10000,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",CH4 STD gC/ha/d,Standard deviation of methane,NUMERIC,NA,g/ha/d,NA,-10000,10000,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Air Temp STD degC,Air temperature at time of gas sampling - standard deviation,NUMERIC,°C,NA,NA,-20,40,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Soil Temp STD degC,Soil temperature at time of gas sampling - standard deviation,NUMERIC,°C,NA,NA,-20,40,NA,N,Y
MeasGHGFlux,"Greenhouse gas flux--nitrous oxide, carbon dioxide and methane emission or consumption",Soil Moisture STD % vol,Soil moisture content at time of gas sampling - standard deviation,NUMERIC,NA,% vol (cm3H2O/cm3),NA,1,100,NA,N,Y
MeasResidueMgnt,"Description for each experimental unit, what was harvested and what remained on the field after harvest.",Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
