SiteID,Exp Unit ID,Sampling Year,Treatment ID,Crop,Above earshank_biomass,Above earshank_carbon_kgC/ha,Above earshank_nitrogen_kgN/ha,Below earshank_biomass,Below earshank_carbon_kgC/ha,Below earshank_nitrogen_kgN/ha,Cobs_biomass,Cobs_carbon_kgC/ha,Cobs_nitrogen_kgN/ha,Grain_biomass,Grain_carbon_kgC/ha,Grain_nitrogen_kgN/ha,Stover (all non-grain biomass)_biomass,Stover (all non-grain biomass)_carbon_kgC/ha,Stover (all non-grain biomass)_nitrogen_kgN/ha,Husk_biomass,Husk_carbon_kgC/ha,Husk_nitrogen_kgN/ha,Leaves_biomass,Leaves_carbon_kgC/ha,Leaves_nitrogen_kgN/ha,Stems_biomass,Stems_carbon_kgC/ha,Stems_nitrogen_kgN/ha,Stems and leaves_biomass,Stems and leaves_carbon_kgC/ha,Stems and leaves_nitrogen_kgN/ha,Tassel_biomass,Tassel_carbon_kgC/ha,Tassel_nitrogen_kgN/ha,Roots_biomass,Roots_carbon_kgC/ha,Roots_nitrogen_kgN/ha,Pod_biomass,Pod_carbon_kgC/ha,Pod_nitrogen_kgN/ha,Whole plant (above and belowground biomass)_biomass,Whole plant (above and belowground biomass)_carbon_kgC/ha,Whole plant (above and belowground biomass)_nitrogen_kgN/ha,Aboveground biomass_biomass,Aboveground biomass_carbon_kgC/ha,Aboveground biomass_nitrogen_kgN/ha
IAAMBRUN,IAAMBRUN_103,2011,IAAMBRUN_3,Zea mays (Corn),1766.66,758.7785098149782,15.016571207048461,2089.04,911.2382948933922,19.636955460792954,1117.59,507.38687999999996,10.281848669603525,7561.73,3366.4802371200008,112.66971144000001,2374.71,1037.27,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_103,2012,IAAMBRUN_3,Zea mays (Corn),3184.508864295692,1367.746557215,27.068325346513383,4422.928978188461,1929.2816202858064,41.575532394971525,1644.674331148598,746.6821463414634,15.1310038465671,8063.175750351287,3589.7258440563933,120.14131868023418,3762.36,1672,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_104,2008,IAAMBRUN_2,Zea mays (Corn),3281,1415,22,3419,1488,18,1793,812,8,8324.86,3613.821726,95.73589000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_104,2009,IAAMBRUN_2,Zea mays (Corn),2485.751610615666,1078.3190486850758,12.180182892016763,3182.8052175781677,1367.9696825150963,14.322623479101756,1136.8565595788118,511.47176615450746,5.115854518104654,7434.538648224534,3126.9669554432394,66.91084783402081,1166.61,521.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_104,2010,IAAMBRUN_2,Zea mays (Corn),2004.7,843.9797881459033,15.43620990195595,2202.95,976.5660750660793,12.116204405286345,2127.72,999.6045944669604,15.106838273127753,6370.98,2755.44994807149,64.9840218967149,869.79,401.1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_104,2011,IAAMBRUN_2,Zea mays (Corn),2303.96,997.1536287013218,20.505238667841414,2420.02,1061.6614830237886,23.232163749779733,1048.82,478.4704701462556,7.446603108370045,7532.47,3350.441309515162,113.74025128974586,758.59,330.37,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_104,2012,IAAMBRUN_2,Zea mays (Corn),3715.260341678307,1607.9646758783715,33.065817040936935,4213.249382185452,1848.352503964758,40.44719406898034,1657.779305898786,756.2789193510262,11.77023307188138,6852.173104170278,3047.8465967349393,103.4678138729712,1010.03,448.4,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_201,2008,IAAMBRUN_3,Zea mays (Corn),3843,1653,28,5856,2554,40,2009,905,10,0,0,0,3420.831,1566.7405979999999,20.182902900000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_201,2009,IAAMBRUN_3,Zea mays (Corn),3110.2036574621256,1346.7181836811003,15.239997921564415,3734.5246545610835,1606.9659588576342,13.817741221876009,1379.4296422047928,631.9167190940155,7.862748960567318,8722.668143328166,3665.265153826496,80.24854691861913,3520.35,1550.4,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_201,2010,IAAMBRUN_3,Zea mays (Corn),1788.41,757.032048411066,11.982316854132158,1943.28,841.4393720162115,11.659667972511015,1874.93,855.7193897546433,16.124423207471366,5429.23,2361.716228065574,59.721559790163944,3069.58,1421.5,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
